iteration,filters,dropout,learning_rate,accuracy (con 1000 datos)
0,32,0.31795327319875877,0.0018662266976517971,0.44999998807907104
1,64,0.4854651042004118,0.0014135935551752314,0.44999998807907104
2,16,0.47023865531706444,0.00016334587611069497,0.9300000071525574
3,64,0.41126270037994017,0.04074144654166233,0.44999998807907104
4,16,0.4122116705145822,0.00022637229697395497,0.9100000262260437
5,64,0.3087393287000287,0.0017538232373118048,0.44999998807907104
6,32,0.3273735795474594,0.00011385953381489422,0.9150000214576721
7,16,0.4774992314058497,0.011103525577197588,0.44999998807907104
